"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 04 08:21:41 CST 2021","Wed Aug 04 08:21:41 CST 2021","0","testcases","test_member","TestMember","","","test_add",""
"passed","Thu Aug 05 08:20:50 CST 2021","Thu Aug 05 08:20:52 CST 2021","1609","testcases","test_member","TestMember","","","test_delete[删除的用户id不存在]",""
"passed","Wed Jul 28 23:01:21 CST 2021","Wed Jul 28 23:01:22 CST 2021","468","testcases","test_tag","TestTag","","","标签名1627484481.6995542",""
"broken","Tue Aug 03 09:01:08 CST 2021","Tue Aug 03 09:01:08 CST 2021","0","testcases","test_member","TestMember","","","test_delete",""
"passed","Thu Aug 05 08:20:56 CST 2021","Thu Aug 05 08:20:58 CST 2021","1203","testcases","test_tag","TestTag","","","test_update",""
"passed","Thu Aug 05 08:20:48 CST 2021","Thu Aug 05 08:20:50 CST 2021","1516","testcases","test_member","TestMember","","","test_delete[删除成功]",""
"passed","Thu Aug 05 08:20:43 CST 2021","Thu Aug 05 08:20:44 CST 2021","1156","testcases","test_member","TestMember","","","test_add[添加成功]",""
"passed","Thu Aug 05 08:20:46 CST 2021","Thu Aug 05 08:20:46 CST 2021","422","testcases","test_member","TestMember","","","test_add[电话号码不合法]",""
"failed","Thu Aug 05 08:20:55 CST 2021","Thu Aug 05 08:20:55 CST 2021","609","testcases","test_tag","TestTag","","","标签名121313",""
"failed","Thu Aug 05 08:20:55 CST 2021","Thu Aug 05 08:20:56 CST 2021","610","testcases","test_tag","TestTag","","","标签名31313",""
"failed","Thu Aug 05 08:20:56 CST 2021","Thu Aug 05 08:20:56 CST 2021","469","testcases","test_tag","TestTag","","","标签名31313",""
"passed","Thu Aug 05 08:20:47 CST 2021","Thu Aug 05 08:20:48 CST 2021","672","testcases","test_member","TestMember","","","test_add[不串userid]",""
"passed","Thu Aug 05 08:20:45 CST 2021","Thu Aug 05 08:20:45 CST 2021","797","testcases","test_member","TestMember","","","test_add[userid已存在]",""
"passed","Thu Aug 05 08:20:59 CST 2021","Thu Aug 05 08:20:59 CST 2021","422","testcases","test_tag","TestTag","","","test_get",""
"passed","Thu Aug 05 08:20:53 CST 2021","Thu Aug 05 08:20:54 CST 2021","1578","testcases","test_member","TestMember","","","test_delete[重复删除一个userid]",""
"passed","Thu Aug 05 08:20:58 CST 2021","Thu Aug 05 08:20:59 CST 2021","922","testcases","test_tag","TestTag","","","test_delete",""
